model_type,hidden_channels,dropout,lr,seed,test_loss,test_acc,test_f1,test_roc_auc,train_time_sec
gin,16,0.0,0.001,2,0.6852825409487674,0.6578947368421053,0.7936507936507937,0.7630769230769231,-1765286937.177671
gin,16,0.0,0.01,2,0.5132564870934737,0.7631578947368421,0.8235294117647058,0.7907692307692308,-1765286937.5674207
gin,16,0.0,0.05,2,0.5433845990582516,0.7368421052631579,0.8000000000000002,0.7692307692307693,-1765286938.4361696
gin,16,0.01,0.001,2,0.6603677680617884,0.6578947368421053,0.7936507936507937,0.19384615384615383,-1765286939.3705604
gin,16,0.01,0.01,2,0.6454520539233559,0.7105263157894737,0.8,0.8092307692307692,-1765286939.2918272
gin,16,0.01,0.05,2,0.5528733479349237,0.7105263157894737,0.8,0.7969230769230768,-1765286940.3456779
gin,16,0.05,0.001,2,0.6900859349652341,0.6578947368421053,0.7936507936507937,0.21230769230769234,-1765286942.070677
gin,16,0.05,0.01,2,0.5915401923029047,0.7105263157894737,0.8,0.7753846153846153,-1765286942.3298302
gin,16,0.05,0.05,2,0.5159255893606889,0.7368421052631579,0.8148148148148148,0.8200000000000001,-1765286943.014106
gin,16,0.1,0.001,2,0.6630380247768602,0.6578947368421053,0.7936507936507937,0.92,-1765286944.2097967
gin,16,0.1,0.01,2,0.540993332862854,0.7894736842105263,0.8461538461538461,0.8061538461538462,-1765286943.8637755
gin,16,0.1,0.05,2,0.6191512158042506,0.7105263157894737,0.7755102040816326,0.6953846153846155,-1765286945.4701114
gin,16,0.25,0.001,2,0.6825553868946276,0.6578947368421053,0.7936507936507937,0.18461538461538463,-1765286946.6461096
gin,16,0.25,0.01,2,0.5654903524800351,0.7368421052631579,0.8148148148148148,0.7753846153846154,-1765286946.6785161
gin,16,0.25,0.05,2,0.547052916727568,0.7368421052631579,0.8000000000000002,0.7692307692307692,-1765286947.5187697
gin,16,0.5,0.001,2,0.6816523577037611,0.6578947368421053,0.7936507936507937,0.3415384615384615,-1765286948.598241
gin,16,0.5,0.01,2,0.5365965209509197,0.7368421052631579,0.8000000000000002,0.7692307692307692,-1765286948.9132254
gin,16,0.5,0.05,2,0.6288336735022696,0.6578947368421053,0.7936507936507937,0.8153846153846154,-1765286949.8435452
gin,32,0.0,0.001,2,0.5708273962924355,0.6842105263157895,0.7999999999999999,0.7692307692307692,-1765286949.870608
gin,32,0.0,0.01,2,0.6136619730999595,0.7368421052631579,0.8148148148148148,0.7846153846153846,-1765286950.5954401
gin,32,0.0,0.05,2,0.6762743341295343,0.7631578947368421,0.7804878048780487,0.8430769230769232,-1765286952.1462524
gin,32,0.01,0.001,2,0.6734423888357062,0.6578947368421053,0.7936507936507937,0.7876923076923077,-1765286952.8782263
gin,32,0.01,0.01,2,0.5331430403809798,0.7368421052631579,0.8000000000000002,0.7630769230769231,-1765286953.1476326
gin,32,0.01,0.05,2,0.5392213557895861,0.7631578947368421,0.8235294117647058,0.7661538461538461,-1765286953.6674316
gin,32,0.05,0.001,2,0.6871542711006967,0.7894736842105263,0.851851851851852,0.8738461538461539,-1765286954.9001944
gin,32,0.05,0.01,2,0.5189832637184545,0.7368421052631579,0.8000000000000002,0.7815384615384615,-1765286955.0969903
gin,32,0.05,0.05,2,0.5277733551828485,0.7631578947368421,0.8235294117647058,0.7723076923076924,-1765286955.937939
gin,32,0.1,0.001,2,0.661042216577028,0.6578947368421053,0.7936507936507937,0.9076923076923077,-1765286957.0893757
gin,32,0.1,0.01,2,0.5228613740519473,0.7631578947368421,0.8235294117647058,0.8153846153846154,-1765286956.8979347
gin,32,0.1,0.05,2,0.6603245515572397,0.6578947368421053,0.7936507936507937,0.8923076923076924,-1765286958.680639
gin,32,0.25,0.001,2,0.6548739828561482,0.6578947368421053,0.7936507936507937,0.9107692307692308,-1765286959.2098923
gin,32,0.25,0.01,2,0.5370804761585436,0.7631578947368421,0.8235294117647058,0.7692307692307692,-1765286959.2461119
gin,32,0.25,0.05,2,0.5172561814910487,0.7105263157894737,0.8,0.8092307692307692,-1765286960.1596446
gin,32,0.5,0.001,2,0.6812252025855215,0.6578947368421053,0.7936507936507937,0.8861538461538461,-1765286961.280227
gin,32,0.5,0.01,2,0.5860700795524999,0.7631578947368421,0.830188679245283,0.8030769230769231,-1765286961.1979878
gin,32,0.5,0.05,2,0.6723060011863708,0.6578947368421053,0.7936507936507937,0.8138461538461539,-1765286963.1513462
gin,64,0.0,0.001,2,0.5530627244397214,0.6842105263157895,0.793103448275862,0.7630769230769231,-1765286963.193204
gin,64,0.0,0.01,2,0.5043202230804845,0.7631578947368421,0.8235294117647058,0.8030769230769231,-1765286964.2252479
gin,64,0.0,0.05,2,0.5101531869486758,0.7368421052631579,0.8148148148148148,0.8153846153846154,-1765286964.7540135
gin,64,0.01,0.001,2,0.5129432458626596,0.7631578947368421,0.8235294117647058,0.7907692307692308,-1765286965.0575254
gin,64,0.01,0.01,2,0.560726639471556,0.7368421052631579,0.8148148148148148,0.7969230769230771,-1765286967.394554
gin,64,0.01,0.05,2,0.520789689139316,0.7368421052631579,0.8076923076923077,0.7753846153846153,-1765286967.8064291
gin,64,0.05,0.001,2,0.5052461812370702,0.7894736842105263,0.8461538461538461,0.8123076923076924,-1765286968.135421
gin,64,0.05,0.01,2,0.561546150006746,0.7631578947368421,0.8235294117647058,0.7907692307692308,-1765286970.8025324
gin,64,0.05,0.05,2,0.496725785104852,0.7368421052631579,0.8148148148148148,0.8276923076923077,-1765286971.916672
gin,64,0.1,0.001,2,0.5716718152949685,0.6842105263157895,0.8064516129032258,0.7630769230769231,-1765286972.4231558
