model,params,num_params,train_time_sec,feature_dim,seed,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_inference_time_sec,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_inference_time_sec,support_ratio
RandomForest,"{""n_estimators"": 100, ""max_depth"": 10}",,0.0995500087738037,800,2,0.7222222222222222,0.7461538461538462,0.7,0.6989966555183946,0.9125,0.0143349170684814,0.8,0.7450980392156863,0.6666666666666667,0.6875,0.8933333333333333,0.0123469829559326,0.1
RandomForest,"{""n_estimators"": 200, ""max_depth"": 20}",,0.2145509719848632,800,2,0.7222222222222222,0.7461538461538462,0.7,0.6989966555183946,0.91875,0.0274040699005126,0.8,0.7450980392156863,0.6666666666666667,0.6875,0.88,0.0268607139587402,0.1
LinearSVM,"{""type"": ""linear"", ""C"": 0.1}",800.0,0.1438820362091064,800,2,0.8333333333333334,0.8376623376623377,0.825,0.8285714285714285,0.8625,0.0002028942108154,0.8,0.7472527472527473,0.8,0.7619047619047619,0.8133333333333335,0.0001049041748046,0.1
LinearSVM,"{""type"": ""linear"", ""C"": 1.0}",800.0,0.1321520805358886,800,2,0.8333333333333334,0.8376623376623377,0.825,0.8285714285714285,0.8875,0.0001971721649169,0.8,0.7333333333333334,0.7333333333333334,0.7333333333333334,0.8133333333333334,0.0001001358032226,0.1
RBFSVM,"{""type"": ""rbf"", ""C"": 1.0, ""gamma"": ""scale""}",,0.0251600742340087,800,2,0.5,0.4333333333333333,0.4625,0.4109090909090909,0.8125000000000001,0.0010848045349121,0.85,0.7976190476190477,0.8333333333333334,0.8119122257053292,0.96,0.0010662078857421,0.1
RBFSVM,"{""type"": ""rbf"", ""C"": 5.0, ""gamma"": ""scale""}",,0.0204300880432128,800,2,0.6666666666666666,0.6666666666666666,0.65,0.6493506493506493,0.8,0.000831127166748,0.8,0.7472527472527473,0.8,0.7619047619047619,0.96,0.0007998943328857,0.1
RandomForest,"{""n_estimators"": 100, ""max_depth"": null}",,0.0989360809326171,303,2,0.7777777777777778,0.7916666666666667,0.7625,0.7662337662337663,0.925,0.0152342319488525,0.6,0.5274725274725275,0.5333333333333333,0.5238095238095238,0.8,0.0146057605743408,0.2
RandomForest,"{""n_estimators"": 200, ""max_depth"": null}",,0.184960126876831,303,2,0.7777777777777778,0.7916666666666667,0.7625,0.7662337662337663,0.9125,0.0145158767700195,0.6,0.5274725274725275,0.5333333333333333,0.5238095238095238,0.8,0.0267338752746582,0.2
RandomForest,"{""n_estimators"": 100, ""max_depth"": 10}",,0.1034052371978759,303,2,0.7777777777777778,0.7916666666666667,0.7625,0.7662337662337663,0.91875,0.0130598545074462,0.6,0.5274725274725275,0.5333333333333333,0.5238095238095238,0.8,0.0144350528717041,0.2
RandomForest,"{""n_estimators"": 200, ""max_depth"": 20}",,0.1826748847961425,303,2,0.7777777777777778,0.7916666666666667,0.7625,0.7662337662337663,0.9125,0.0274949073791503,0.6,0.5274725274725275,0.5333333333333333,0.5238095238095238,0.8,0.0257930755615234,0.2
LinearSVM,"{""type"": ""linear"", ""C"": 0.1}",303.0,0.126720905303955,303,2,0.8333333333333334,0.8376623376623377,0.825,0.8285714285714285,0.95,0.0001900196075439,0.75,0.75,0.8333333333333333,0.7333333333333334,0.8533333333333333,8.916854858398438e-05,0.2
